MKOA WA IRINGA,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low voltage Lines (km),,,Initial customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11KV,33KV,50,100,200,4 x 95 sq.mm,4 x 50 sq.mm,LV Total (km),single phase,Three phase,Total
Iringa,Iringa,Iringa DC,Kalenga,Masaka,Kaning`ombe,1,Sekuse,,1.1,1,,,1.2,1.8,3.0,48,3,50
Iringa,Iringa,Iringa DC,Kalenga,Masaka,Kaning`ombe,2,Kasanga,,2.0,1,,,1.0,1.5,2.5,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Masaka,Kaning`ombe,3,Mduma,,1.8,1,,,0.8,1.2,2.0,32,2,34
Iringa,Iringa,Iringa DC,Kalenga,Masaka,Makota,4,Itikangombwe,,0.0,1,,,1.4,2.1,3.5,57,3,60
Iringa,Iringa,Iringa DC,Kalenga,Masaka,Makota,5,Mpwapwa,,0.8,1,,,1.2,1.8,3.0,33,2,35
Iringa,Iringa,Iringa DC,Kalenga,Masaka,Makota,6,Luhuu,,2.0,,1,,1.6,2.4,4.0,76,4,80
Iringa,Iringa,Iringa DC,Kalenga,Masaka,Sadani,7,Mkamila,,0.0,,,,1.0,1.5,2.5,0,0,0
Iringa,Iringa,Iringa DC,Kalenga,Masaka,Sadani,8,Isele,,2.0,1,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Masaka,Sadani,9,Itubugu,,4.0,1,,,1.2,1.8,3.0,27,1,28
Iringa,Iringa,Iringa DC,Kalenga,Ifunda,Kibena,10,Ulyangwada,,0.6,1,,,1.4,2.1,3.5,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Ifunda,Kibena,11,Ubalanzi,,2.2,1,,,1.2,1.8,3.0,24,1,25
Iringa,Iringa,Iringa DC,Kalenga,Ifunda,Kibena,12,Kitasengwa,,1.1,1,,,1.2,1.8,3.0,52,3,55
Iringa,Iringa,Iringa DC,Kalenga,Ifunda,Kibena,13,Kalonga,,3.2,1,,,1.2,1.7,2.9,38,2,40
Iringa,Iringa,Iringa DC,Kalenga,Ifunda,Bandabichi,14,Ihagaha,,0.3,1,,,1.2,1.8,3.0,19,1,20
Iringa,Iringa,Iringa DC,Kalenga,Ifunda,Ifunda,15,Ulolage and mgondo,,0.0,1,,,1.2,1.8,3.0,32,2,34
Iringa,Iringa,Iringa DC,Kalenga,Ifunda,Ifunda,16,Utibesa,,2.7,1,,,1.2,1.8,3.0,19,1,20
Iringa,Iringa,Iringa DC,Kalenga,Ifunda,Ifunda,17,Kipera,,2.9,1,,,1.1,1.6,2.7,24,1,25
Iringa,Iringa,Iringa DC,Kalenga,Ifunda,Udumka ,18,Itulo,,0.0,1,,,1.2,1.8,3.0,52,3,55
Iringa,Iringa,Iringa DC,Kalenga,Ifunda,Udumka ,19,Ikungu,,2.1,1,,,1.2,1.7,2.9,30,2,32
Iringa,Iringa,Iringa DC,Kalenga,Ifunda,Mfukulembe,20,Igulumti B,,3.4,1,,,1.2,1.7,2.9,34,2,36
Iringa,Iringa,Iringa DC,Kalenga,Lumuli,Muwimbi,21,Muwimbi,,1.3,1,,,1.0,1.5,2.5,0,0,0
Iringa,Iringa,Iringa DC,Kalenga,Lumuli,Lumuli,22,Kalengechwaa,,2.0,1,,,1.2,1.8,3.0,51,3,54
Iringa,Iringa,Iringa DC,Kalenga,Lumuli,Lumuli,23,"Kibalali
",,4.4,2,,,2.4,3.6,6.0,72,4,76
Iringa,Iringa,Iringa DC,Kalenga,Lumuli,Lumuli,24,Kihata,,0.0,,,,1.2,1.8,3.0,32,2,34
Iringa,Iringa,Iringa DC,Kalenga,Lumuli,Lumuli,25,Lugema,,0.0,1,,,1.0,1.6,2.6,35,2,37
Iringa,Iringa,Iringa DC,Kalenga,Lumuli,Lumuli,26,Uhopela,,0.0,1,,,1.0,1.6,2.6,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Lumuli,Lumuli,27,Vikula,,0.0,1,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Lumuli,Lumuli,28,Kihesa,,0.0,1,,,1.3,2.0,3.3,57,3,60
Iringa,Iringa,Iringa DC,Kalenga,Lumuli,Itengulinyi,29,Ipangani,,0.0,1,,,1.0,1.5,2.5,33,2,35
Iringa,Iringa,Iringa DC,Kalenga,Lumuli,Itengulinyi,30,Makanyagio A,,0.0,1,,,1.2,1.8,3.0,49,3,52
