MKOA WA KIGOMA,,,,,,,,Scope of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Kasanda,1,Keza,,0.0,1,,,1.0,2.0,3.0,65,1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Kasanda,2,Kilalanguruwe,,0.6,1,,,1.0,2.0,3.0,50,2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Kasanda,3,Mpwago  B,,0.0,,1,,1.0,2.0,3.0,120,2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Nkuba,4,Kagoti,,1.5,1,,,1.0,2.0,3.0,178,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Nkuba,5,Nzangwa,,0.5,1,,,1.0,2.0,3.0,89,1,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Nkuba,6,Nkuba  B,,0.5,1,,,1.0,2.0,3.0,96,1,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Chilambo,7,Kilizuba/Nyamahasa,,1.1,1,,,1.0,2.0,3.0,40,2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Chilambo,8,Kichacha,,1.7,1,,,1.0,2.0,3.0,80,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Chilambo,9,Ngulilo ,,1.1,1,,,1.0,2.0,3.0,90,1,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Chilambo,10,Ntamba,,3.0,1,,,1.0,2.0,3.0,70,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Juhudi,11,Ruhuma,,1.0,1,,,1.0,2.0,3.0,75,1,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kasanda,Juhudi,12,Maendeleo,,0.7,1,,,1.0,2.0,3.0,105,2,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kiziguzigu,Kabingo,13,Songambele,,,,1,,1.0,2.0,3.0,105,2,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kiziguzigu,Kabingo,14,Mbugani B,,0.0,1,,,1.0,2.0,3.0,60,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Kiziguzigu,Kabingo,15,Ilela,,1.8,,1,,1.0,2.0,3.0,102,1,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
