MKOA WA KILIMANJARO ,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kirua Vunjo Magharibi,Manu,1,Mraembe,,0.5,,,,1.4,0.6,2.0,35,2,37
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kirua Vunjo Magharibi,Manu,2,Lole,,0.0,,1,,2.1,0.9,3.0,60,2,62
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kirua Vunjo Magharibi,Marua,3,Mkonja,,3.0,,1,,1.4,0.6,2.0,30,2,32
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kirua Vunjo Magharibi,Marua,4,Manaenaeni,,2.8,,1,,1.4,0.6,2.0,35,2,37
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kirua Vunjo Mashariki,Nganjoni,5,Nganjoni Chini,,2.2,1,,,1.4,0.6,2.0,53,2,55
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kirua Vunjo Mashariki,Nganjoni,6,Urenga,,3.0,1,,,2.8,1.2,4.0,80,2,82
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kirua Vunjo Mashariki,Mrumeni,7,Mria,,0.0,1,,,1.4,0.6,2.0,53,2,55
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kirua Vunjo Mashariki,Mrumeni,8,Mfiriweni,,1.4,,1,,2.8,1.2,4.0,70,2,72
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kirua Vunjo Mashariki,Mrumeni,9,Leshaku,,0.7,,1,,1.4,0.6,2.0,60,2,62
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kiruavunjo,Yamu,10,Yam Juu,,0.8,1,,,2.1,0.9,3.0,78,2,80
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kiruavunjo,Yamu,11,Kiraracha,,0.5,1,,,2.1,0.9,3.0,92,2,94
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kiruavunjo,Yamu,12,Masia,,2.0,,1,,2.8,1.2,4.0,79,2,81
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kilema Kusini,Leghomulo,13,Ngororomuni,,2.0,,1,,2.8,1.2,4.0,100,2,102
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kilema Kusini,Kilema Chini,14,Mandaka Chini,,0.8,1,,,2.8,1.2,4.0,100,2,102
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kilema Kaskazini,Ruwa,15,Kilai,,0.4,,1,,2.1,0.9,3.0,55,2,57
Kilimanjaro,Moshi,Moshi DC,Vunjo,Mwika Kusini,Mawanjeni,16,Riata A,,0.2,1,,,1.4,0.6,2.0,50,2,52
Kilimanjaro,Moshi,Moshi DC,Vunjo,Mwika Kusini,Mawanjeni,17,Riata B,,0.0,1,,,2.8,1.2,4.0,80,2,82
Kilimanjaro,Moshi,Moshi DC,Vunjo,Makuyuni,Makuyuni,18,Kalemani,,0.8,1,,,2.8,1.2,4.0,200,2,202
Kilimanjaro,Moshi,Moshi DC,Vunjo,Kahe Mashariki,Kochakindo,19,Kochakindo Kati,,0.0,1,,,2.1,0.9,3.0,54,2,56
