MKOA WA MBEYA ,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Mbeya,Rungwe,Rungwe DC,Rungwe,Kisondela,Lutete,1,Bujesi,1.1,,0,2,0,3.4,2.2,5.6,109,3,112
Mbeya,Rungwe,Rungwe DC,Rungwe,Kisondela,Lutete,2,Njela,0.9,,0,2,0,3.7,2.5,6.2,121,2,123
Mbeya,Rungwe,Rungwe DC,Rungwe,Kisondela,Lutete,3,Majengo,2.7,,0,1,0,2.4,1.6,4.0,78,2,80
Mbeya,Rungwe,Rungwe DC,Rungwe,Kisondela,Lutete,4,Ngubati,,4.6,1,1,,1.0,1.0,2.0,30,1,31
Mbeya,Rungwe,Rungwe DC,Rungwe,Kisondela,Lutete,5,Nyamsiki,,2.7,1,1,,1.0,1.0,2.0,30,1,31
Mbeya,Rungwe,Rungwe DC,Rungwe,Kisondela,Isuba,6,Iponjola,1.8,,0,2,0,3.1,2.0,5.1,100,2,102
Mbeya,Rungwe,Rungwe DC,Rungwe,Mpuguso,Isajilo,7,Igembe,,1.7,0,2,0,3.0,2.0,5.1,99,2,101
Mbeya,Rungwe,Rungwe DC,Rungwe,Masoko,Lufumbi,8,Ndobo,2.2,,0,1,0,2.4,1.6,4.0,78,2,80
Mbeya,Rungwe,Rungwe DC,Rungwe,Masoko,Lufumbi,9,Laini,0.7,,0,1,0,2.6,1.8,4.4,86,2,88
Mbeya,Rungwe,Rungwe DC,Rungwe,Masoko,Bujesi,10,Bujinga,,1.0,0,1,0,2.7,1.8,4.5,88,2,90
Mbeya,Rungwe,Rungwe DC,Rungwe,Masoko,Nsyasya,11,Ndwanga,,0.0,0,1,0,2.7,1.8,4.5,88,2,90
Mbeya,Rungwe,Rungwe DC,Rungwe,Masoko,Lupando,12,Ngaseke,,1.9,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masoko,Igembe,13,Lukobo,,0.5,0,1,0,2.9,2.0,4.9,96,2,98
Mbeya,Rungwe,Rungwe DC,Rungwe,Masoko,Igembe,14,Ngasya,,0.8,0,1,0,2.7,1.8,4.5,88,2,90
Mbeya,Rungwe,Rungwe DC,Rungwe,Masoko,Ntandabala,15,Mpegele,,0.0,0,2,0,3.0,2.0,5.1,99,2,101
Mbeya,Rungwe,Rungwe DC,Rungwe,Masoko,Ntandabala,16,Segela,,1.2,0,2,0,4.8,3.2,8.0,158,2,160
Mbeya,Rungwe,Rungwe DC,Rungwe,Masukulu,Masukulu,17,Iponjola,0.7,,0,1,0,2.9,2.0,4.9,96,2,98
Mbeya,Rungwe,Rungwe DC,Rungwe,Masukulu,Masukulu,18,Itwatwa,0.7,,0,1,0,2.7,1.8,4.5,88,2,90
Mbeya,Rungwe,Rungwe DC,Rungwe,Masukulu,Kiloba,19,Nazareti,,1.3,0,1,0,2.6,1.7,4.3,84,2,86
Mbeya,Rungwe,Rungwe DC,Rungwe,Masukulu,Kiloba,20,Ileja,,2.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masukulu,Lyebe,21,Lyebe Chini,,0.8,0,1,0,2.6,1.7,4.4,85,2,87
Mbeya,Rungwe,Rungwe DC,Rungwe,Masukulu,Lyebe,22,Kabula ,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masukulu,Ijigha,23,Ngeke  ,,0.0,0,1,0,2.7,1.8,4.5,88,2,90
Mbeya,Rungwe,Rungwe DC,Rungwe,Masukulu,Ijigha,24,Ngapoke,,1.7,0,1,0,2.5,1.6,4.1,80,2,82
Mbeya,Rungwe,Rungwe DC,Rungwe,Masukulu,Ijigha,25,Mbangala,,1.6,0,1,0,2.2,1.4,3.6,70,2,72
