MKOA WA NJOMBE,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Line (Km),,Distribution Transformer (kVA),,,LV (km),,,Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Njombe,Njombe, Njombe DC,Lupembe,Ikondo,Ikondo,1,Idyadya,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikondo,Ikondo,2,Igumbilo,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikondo,Ikondo,3,Mkondoa,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikondo,Ikondo,4,Uheni,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikondo,Ikondo,5,Manyamle,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikondo,Ikondo,6,Mtanga,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikondo,Ikondo,7,Itova,,7.4,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikondo,Nyave,8,Iduli,,1.2,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikondo,Nyave,9,Ilala,,1.4,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikondo,Nyave,10,Uchange A,,1.2,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikondo,Nyave,11,Uchange B,,0.5,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ukalawa,Ukalawa,12,Kingudzilo,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ukalawa,Ukalawa,13,Mlangali,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ukalawa,Ukalawa,14,Mpongolo,,0.9,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ukalawa,Ukalawa,15,Mngate,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ukalawa,Ukalawa,16,Ituli,,2.8,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ukalawa,Ukalawa,17,Kilanzi,,3.3,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ukalawa,Ukalawa,18,Mkombi,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ukalawa,Kitole,19,Kipongolo,,2.2,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ukalawa,Kitole,20,Mwakailole,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Kanikelele,21,Mtonga,,2.5,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Kanikelele,22,Kimbo,,0.9,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Kanikelele,23,Ndago,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Kanikelele,24,Luganga,,3.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Kanikelele,25,Ituli,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Kanikelele,26,Ibanawanu,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Kanikelele,27,Igoga,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Lupembe,28,Barazani,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Lupembe,29,Iketelo,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Lupembe,30,Mbingu,,2.4,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Ihang'ana,31,Ihang'ana A,,1.4,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Igombola,32,Ikapanilo,,3.9,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Lupembe,Igombola,33,Ngamba,,0.0,0,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Matembwe,34,Lung'angali,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Wanginyi,35,Ivanginyi ,,,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Wanginyi,36,Udinda,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Lyalao,37,Idamu,,2.7,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Lyalao,38,Mfipa,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Lyalao,39,Myakaya,,0.3,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Isoliwaya,40,Mgude,,2.1,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Isoliwaya,41,Mnemele,,0.9,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Isoliwaya,42,Utengule,,3.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Isoliwaya,43,Mpeto,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Isoliwaya,44,Usakila,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Welela,45,Mapinduzi,,0.7,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Welela,46,Majengo,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Matembwe,Welela,47,Ilonga,,2.4,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Itambo,48,Mwembetogwa,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Itambo,49,Ndevalongeswela,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Itambo,50,Mtivike,,0.7,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Itambo,51,Idete,,19.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Ikang'asi,52,Ikinda,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Ikang'asi,53,Kihelema,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Mfiriga,54,Mfriga B,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Mfiriga,55,Kitumbi,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Mfiriga,56,Ilawa,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Mfiriga,57,Idavi,,2.2,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Mfiriga,58,Igugu,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Madeke,59,Kipwaji,,0.8,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Mfriga,Madeke,60,Mji mwema,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikuna,Nyombo,61,Ibowola,,0.6,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikuna,Nyombo,62,Mapembembeta,,6.6,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikuna,Lole,63,Kitewele,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikuna,Lole,64,Mtamba A,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikuna,Lole,65,Mtamba B,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikuna,Lole,66,Idongela A,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikuna,Lole,67,Idongera B,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikuna,Lole,68,Usyalula,,7.9,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikuna,Ikuna,69,Mpeto A,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ikuna,Ikuna,70,Magegele,,1.7,1,0,0,2.0,1.0,3.0,30,2,32
