MKOA WA RUVUMA,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Line (Km),,Distribution Transformer (kVA),,,LV (km),,,Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Ruvuma,Songea,Songea DC,Peramiho,Peramiho,Peramiho‘B’,1,Lihangano,,0.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Peramiho,Nguvumoja,2,Msufini,,0.7,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Peramiho,Nguvumoja,3,Kichangani,,0.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Parangu,4,Parangu A,,1.2,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Parangu,5,Nazareti,,1.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Parangu,6,Liheula juu,,0.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Parangu,7,Liheula chini,,0.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Parangu,8,Liheula kati,,0.7,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Litowa,9,Litowa B,,0.9,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Litowa,10,Litowa C,,15.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Litowa,11,Tangini A.,,0.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Litowa,12,Tangini B,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Litowa,13,Goliama A,,1.2,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Litowa,14,Golimam B,,0.9,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Litowa,15,Madamba A,,0.7,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Litowa,16,Madamba B,,0.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Chiwurungi ,17,Madamba ,,0.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Parangu,Chiwurungi ,18,Mjimwema ,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Maposeni,Maposeni,19, Ujamaa ,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Maposeni,Maposeni,20,Kaloleni ,,0.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Maposeni,Maposeni,21, Mbuyula B.,,0.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Maposeni,Mdunduwalo,22,Mtesuka A,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Maposeni,Mdunduwalo,23,Mtesuka B,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Maposeni,Mdunduwalo,24,Goliama,,1.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Maposeni,Mdunduwalo,25,Mahenge,,0.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Maposeni,Mdunduwalo,26,Milola,,1.3,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Mpandangindo,Mpandangindo,27,Muheza,,0.0,1,,,1.0,1.5,2.5,38,2,40
