MKOA WA SIMIYU,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Line (Km),,Distribution Transformer (kVA),,,LV (km),,,Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Buchambi,Kizungu,1,Gin'ghi,,3.2,,1,,4.0,2.0,6.0,145,5,150
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Buchambi,Kizungu,2,Mwamagili,,0.0,1,,,4.0,2.0,6.0,145,6,151
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Buchambi,Kinamwigulu,3,Buchima,,1.4,,1,,4.0,3.0,7.0,126,5,131
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Buchambi,Kinamwigulu,4,Mwangoko,,0.0,1,,,4.0,2.0,6.0,106,6,112
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Buchambi,Kinamwigulu,5,Imalamako,,2.2,1,,,4.0,2.0,6.0,108,4,112
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Buchambi,Sayusayu,6,Ibanda,,0.0,1,,,4.0,2.0,6.0,108,4,112
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Buchambi,Sayusayu,7,Ng'haya,,3.0,1,,,3.0,2.0,5.0,70,8,78
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Buchambi,Ng'haya,8,Ng'haya,,0.0,1,,,3.0,2.0,5.0,65,5,70
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Buchambi,Ng'haya,9,Mwantondo,,0.0,1,,,4.0,2.0,6.0,95,7,102
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Buchambi,Inemwa,10,Wagamoyo,,4.0,1,,,4.0,2.0,6.0,130,8,138
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Mwamashimba,Buyubi,11,Mwanashimba,,0.8,1,,,2.0,1.0,3.0,40,4,44
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Mwamashimba,Dodoma,12,Mwahegela,,3.3,1,,,4.0,2.0,6.0,110,5,115
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Mwamashimba,Dodoma,13,Mwankali,,0.9,1,,,4.0,2.0,6.0,130,7,137
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Mwamashimba,Dodoma,14,Bukoba,,1.1,1,,,3.0,2.0,5.0,58,3,61
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Mwamashimba,Ikungulyasubi,15,Mwakiganga,,0.0,,1,,5.0,3.0,8.0,60,2,62
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Zanzui,Malita,16,Mwamanyili,,2.0,1,,,4.0,2.0,6.0,73,3,76
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Zanzui,Malita,17,Mbugani,,0.5,1,,,3.0,2.0,5.0,70,6,76
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Zanzui,Zanzui,18,Shimama,,0.0,1,,,3.0,2.0,5.0,73,5,78
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Zanzui,Zanzui,19,Ikindilo,,0.8,1,,,4.0,2.0,6.0,80,5,85
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Isanga,Njiapanda,20,Mwamagaka,,0.6,1,,,4.0,2.0,6.0,106,6,112
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Isanga,Njiapanda,21,Sagenda,,0.3,1,,,4.0,2.0,6.0,95,5,100
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Isanga,Njiapanda,22,Jiji,,0.0,1,,,4.0,2.0,6.0,85,3,88
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Isanga,Funika,23,Malula,,1.8,1,,,4.0,2.0,6.0,120,7,127
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Isanga,Funika,24,Bugolola,,0.0,1,,,2.0,1.0,3.0,40,4,44
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Isanga,Funika,25,Gembe,,1.1,1,,,3.0,2.0,5.0,93,3,96
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Isanga,Isanga,26,Iginguli,,0.0,1,,,2.0,1.0,3.0,30,3,33
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Isanga,Isanga,27,Mwang'holo,,0.0,1,,,4.0,2.0,6.0,140,4,144
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Busangi,Kidema,28,Iboja,,1.5,1,,,3.0,2.0,5.0,50,5,55
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Busangi,Ngongwa,29,Ngongwa,,0.0,,1,,4.0,2.0,6.0,90,6,96
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Busangi,Ngongwa,30,Mwanzazani,,1.0,,1,,3.0,2.0,5.0,70,4,74
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Busangi,Ngongwa,31,Lugulu,,0.0,1,,,3.0,2.0,5.0,50,4,54
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Busangi,Isulilo,32,Kasela,,0.0,,,1,3.0,2.0,5.0,87,4,91
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Busangi,Isulilo,33,Sali,,2.1,1,,,3.0,2.0,5.0,80,4,84
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Busangi,Busamuda,34,Nyanguge,,1.1,1,,,4.0,2.0,6.0,86,5,91
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Masela,35,Pandagi,,1.9,,1,,4.0,2.0,6.0,80,9,89
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Masela,36,Mwakwibilinga,,1.8,1,,,3.0,2.0,5.0,76,4,80
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Masela,37,Isado,,3.0,,1,,4.0,2.0,6.0,86,3,89
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Masela,38,Bulolangulu,,1.7,,1,,3.0,2.0,5.0,68,4,72
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Wigelekelo,39,Isageng'he,,0.0,1,,,4.0,2.0,6.0,68,4,72
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Wigelekelo,40,Ng'hwande,,0.0,,1,,4.0,2.0,6.0,67,4,71
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Wigelekelo,41,Mita,,4.0,1,,,3.0,2.0,5.0,61,5,66
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Wigelekelo,42,Mwasaida,,2.0,1,,,3.0,2.0,5.0,50,3,53
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Mwasayi,43,Mwasayi,,0.0,,1,,4.0,3.0,7.0,160,10,170
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Mwasayi,44,Mwakudawa,,1.5,,1,,4.0,3.0,7.0,155,5,160
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Mwasayi,45,Ibindo,,0.8,1,,,4.0,2.0,6.0,140,9,149
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Mwasayi,46,Bupumba,,1.1,1,,,4.0,2.0,6.0,103,5,108
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Gumali,47,Masuha,,0.0,1,,,2.0,1.0,3.0,40,4,44
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Masela,Ng'wabuki,48,Likenejo,,4.0,1,,,4.0,2.0,6.0,120,5,125
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Mandela,49,Nela,,2.8,1,,,4.0,2.0,6.0,95,5,100
